Density,Pearson,Jacard,Cosine,Euclidean
0.05,0.5253590627077983,0.5335919187613989,0.5260874002792582,0.14796962338795272
0.1,0.4228372098097084,0.4494107163832464,0.4200870786742361,0.09884120995887932
0.15,0.35783676019372157,0.3960632745374548,0.35101629355995045,0.0668226557918584
0.2,0.31196321655995846,0.3484469022611784,0.3034334137114911,0.06064126361907402
0.25,0.2795004799691406,0.31201956723872937,0.2711005612713457,0.049918485498853776
0.3,0.2538233043190367,0.28434464320886244,0.24493993593174912,0.04209882434543398
0.35,0.23313732153570263,0.2617294594847558,0.224114489172457,0.03971727243930473
0.4,0.21663793872436138,0.24443113467548833,0.20735760368072895,0.03901232442203975
0.45,0.2030631948515803,0.22833648670475415,0.19318661733099973,0.03453669450481206
0.5,0.1915742098852387,0.21055223386944139,0.18165663898144827,0.023464876194714237
0.55,0.18200079335623137,0.20691956070296139,0.17164253452420858,0.01889984138327025
0.6,0.1740626555050231,0.19372486627514002,0.1633842670248653,0.019802100623934466
0.65,0.16789764367668977,0.1941376431903275,0.15686255561780027,0.018365845890803492
0.7,0.16282677783080068,0.18902897818816347,0.15135285769850587,0.014837521570726347
0.75,0.15878810561491216,0.18476732808240265,0.14683257314044448,0.012789522049141461
0.8,0.1559564070808055,0.1817063559052467,0.14346037217717744,0.011732762613672482
